Sentence,Sentiment
"user 5 stocks i've been buying at 50 with hopes for 70, SBX KOS PANW EBAY HAIN - AM I diversified? Will i see 70 this year?",positive
"In a newly issued market update, the technology company warned about rising costs for its domestic operations, signaling weaker momentum; this was update reference N02247.",negative
"GOOG notice volume still coming in on up days, looks solid",positive
"In a newly issued market update, the healthcare company raised its earnings guidance for the current quarter, boosting investor confidence; this was update reference P00182.",positive
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,positive
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",neutral
"MON SI declining, downward trend, 98 support weakening, 8 & 20 DMA curling down. 96 is next.",negative
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",neutral
"STI 5 min 1 - and 30 min opening range, added calls.",positive
GOOG IGV #Google #Software firing on all 3 cylinders compq NDX,positive
"The device offers multimedia performance along with a host of productivity applications , including live stock prices .",neutral
"In its latest update, the manufacturer reported weaker margins in its latest reporting cycle, adding to bearish sentiment; this was update reference N01163.",negative
$FLMP - Flame Seal Products&nbsp; reports Q3 results https://t.co/nqZyMmr1Lb,neutral
Atlanta Fed Business Inflation Expectations declined in February https://t.co/koNJkJAQAQ,neutral
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,positive
"Honda raises profit forecast, sticks to Wuhan plant closure schedule",positive
"According to its newest filing, the banking group expanded its order book during the latest trading period, strengthening growth expectations; this was update reference P01635.",positive
"According to its newest filing, the retail company warned of operational delays for the latest fiscal period, weakening investor confidence; this was update reference N01565.",negative
"In a newly issued market update, the telecom operator lowered its revenue forecast for the current financial year, and investors reacted negatively; this was update reference N02716.",negative
"Restaurant Brands Int'l tops Q4 estimates, but company not ""clucking"" on all   
cylinders (QSR) https://t.co/wcig05Vmy3 $QSR",positive
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive
Economic indicator dulls allure of haven assets https://t.co/EJ7qAQfXP2,negative
GOOG sold 1/2 of long position,positive
Daily Insider Ratings Round Up 11/21/19. Get more updates here: https://t.co/oGJksU1Qa7 #business #stockmarket #trading,neutral
"SPW pauses, SCTY continues its run, up > 20% in 1 month:",positive
"According to its newest filing, the industrial firm reported weaker margins for its domestic operations, signaling weaker momentum; this was update reference N02937.",negative
Democrats Getting 'Cold Feet' As Impeachment Support Evaporates https://t.co/EXIydIMZFS,neutral
"CF finally, looking for 141.80-90 next tgt",positive
"In a new company statement, the manufacturer recorded stronger sales in its latest reporting cycle, adding to bullish sentiment; this was update reference P02424.",positive
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",neutral
"Amazon, Flipkart Operations Being Disrupted Amid Lockdown: Report
https://t.co/2lk47RpCzv",negative
The original contract was signed last summer .,neutral
Wereldhave N.V. reports Q4 results,neutral
"During the latest reporting period, the healthcare company reported declining demand across its core operations, putting pressure on the outlook; this was update reference N02138.",negative
Aramco Up for Third Session With Eye on Passive Flows: Inside EM,positive
"Nice breakout here TGT , ong 2000 shares in T account",positive
New Residential Q4 origination production surges 85% Q/Q,positive
"In its latest investor communication, the electronics maker reported slower order growth for the current quarter, weakening investor confidence; this was update reference N03183.",negative
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,positive
$AMZN long into earnings. looks good over 600,positive
GOOG is hitting its head on the up trend line it broke I like 755 puts GOOG130201P755 at 2.60,negative
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive
"Tiberius Acquisition : CFTC Approves One Final, Two Proposed Rules at December 10 Open Meeting #TiberiusAcquisition https://t.co/XelZOiCiwl",neutral
"Automatic cuts starts today, european crisis goes worse and worst but SSYS DDD XONE are going to pop! Anti austerity hype stocks!",positive
Ebay shares jump 3% premarket,positive
