Sentence,Sentiment
Waitr Holdings Inc. (WTRH) Is Burning These Hedge Funds,neutral
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,positive
"In a newly issued market update, the banking group expanded its order book for the current financial year, and investors welcomed the news; this was update reference P01638.",positive
AAP Will Pin  450 or bellow..,negative
"$MPAA - Motorcar Parts of America, Inc. (MPAA) CEO Selwyn Joffe on Q3 2020 Results - Earnings Call Transcript. https://t.co/U4Ws1FPtFt",neutral
Breakingviews - Fed's ultra-loose efforts will cast long shadow https://t.co/nktomiS4jW https://t.co/A5r5dgKIhX,negative
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",positive
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive
"In a new company statement, the manufacturer cut its earnings guidance for the latest fiscal period, weakening investor confidence; this was update reference N00184.",negative
"Hexo's Q1 Report Could Be Ugly, Says Cantor Fitzgerald",negative
Credit Suisse CEO Thiam quits after spying scandal,neutral
"Following its recent business review, the industrial firm improved its operating margin across its core operations, supporting a positive outlook; this was update reference P00699.",positive
Former Ecuadorian President Rafael Correa goes on trial on charges of campaign finance fraud and accepting millions https://t.co/7RozGXYGMx,neutral
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,positive
"In a newly issued market update, the healthcare company reported declining demand for its main business segment, raising concerns about growth; this was update reference N03822.",negative
Asian markets inch up ahead of U.S. jobs report https://t.co/tF3PZEFxc7,positive
"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",positive
"""We Totally Failed As A Business"": Unicorn Scooter Impales Investors After Company Goes Hooves-Up https://t.co/otp1fQAFgj",negative
"According to its newest filing, the software firm reported declining demand for its main business segment, raising concerns about growth; this was update reference N00431.",negative
Why Now Is a Great Time to Buy Pinterest Stock,positive
"In a new company statement, the cybersecurity company reported declining demand for the current quarter, weakening investor confidence; this was update reference N03901.",negative
APO Q1 2013 operational cash flow 210 million. a 90million decline vs. 2012 Q1.  30% decline,negative
"out of AN, WBMD, and BOX, I like BOX as having the best chance of a continued run-up tomorrow",positive
"In its latest update, the payment provider posted a quarterly loss for its domestic operations, signaling weaker momentum; this was update reference N03746.",negative
Bottled Water Flies Off the Shelves in Rio as Taps Run Dry,neutral
"In a new company statement, the cybersecurity company posted record operating income across its principal markets, adding to bullish sentiment; this was update reference P01521.",positive
"Brookfield a potential suitor for Trans Mountain, analyst says",neutral
"Stocks making the biggest moves premarket: TD Ameritrade, Charles Schwab, Tesla & more",neutral
last minute add-on to watchlist: DPS,positive
RT @lizrhoffman: The first 3 Wall Street banks have been hired by the federal government to sort through the corona-aid muck. TheyÃ¢â¬â¢re not wÃ¢â¬Â¦,positive
Evoke Pharma up 32%,positive
The Silver Lining in Ford's Struggling Chinese Market,neutral
EV Amazed how an 18% gainer gets no ST recognition. Guess that goes along with only having 15 followers. #undertheradar,positive
Ameritrade shares ascend toward multimonth high and Schwab dips on deal news https://t.co/PnkM9Zz8fb,positive
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive
"In a new company statement, the property developer received an analyst downgrade in its latest reporting cycle, adding to bearish sentiment; this was update reference N00954.",negative
"Stocks making the biggest moves after hours: Urban Outfitters, Amarin, Endo International & more",neutral
DDD IMO The 3D Sector will pay off SH andT CIMT ONVO DASTY PCP SSYS ADSK and NANO TEC will be Next gen of AAP and GOOG stock,positive
CEE - user out did himself overbought 60 now,positive
"In a new company statement, the e-commerce platform reported weaker revenue for its main business segment, raising concerns about growth; this was update reference N01752.",negative
CAT Gap fill area approaching. Will be filled in next few days.,negative
Deutsche Bank Plans Bigger Bonuses at Asset Management Division,positive
"According to its newest filing, the property developer received an analyst downgrade for its domestic operations, signaling weaker momentum; this was update reference N02636.",negative
Raute is listed on the Nordic exchange in Helsinki .,neutral
"In its latest update, the technology company recorded stronger sales for its main business segment, strengthening growth expectations; this was update reference P02381.",positive
"In its latest investor communication, the industrial firm lowered its revenue forecast across its core operations, putting pressure on the outlook; this was update reference N01118.",negative
